file,view,screen,state,surface,theme,real_w,real_h,expected_w,expected_h,size_match,dom_w,dom_h,dom_size_match,capture_selector,sha256,bytes
hub-pacientes-light-960x600.png,hub-pacientes,pacientes,list,window,light,960,600,960,600,yes,960,600,yes,.window,8b7927e49db26b3b2a919de7b5b859b0870e06eb6a1963e5ad3378e510c712e8,217680
hub-pacientes-dark-960x600.png,hub-pacientes,pacientes,list,window,dark,960,600,960,600,yes,960,600,yes,.window,64dcaff02644c9d228e6b68a332c93c50060cfdbf63b26a4a54295b0ad2e8a94,209297
hub-pacientes-empty-light-960x600.png,hub-pacientes-empty,pacientes,empty,window,light,960,600,960,600,yes,960,600,yes,.window,863bf16ea587c787e3a7325c21eaee1591a18c3200212c21d60d5565310c3633,182955
hub-pacientes-empty-dark-960x600.png,hub-pacientes-empty,pacientes,empty,window,dark,960,600,960,600,yes,960,600,yes,.window,3e4793f8ccea2dbc26b37d68d3826913e95ef5b22d1e5825f9fd768192b211ba,176200
hub-detalle-light-960x600.png,hub-detalle,detalle,recordatorios,window,light,960,600,960,600,yes,960,600,yes,.window,7a707323ce4d9f41a77e5990028546c8eefd4576f97a3f12fc9958e607415532,104596
hub-detalle-dark-960x600.png,hub-detalle,detalle,recordatorios,window,dark,960,600,960,600,yes,960,600,yes,.window,22a941d961f952dd8f5cd76e1de3c1361dfab89780df9aaf457d0301bbe1d2d1,101754
hub-detalle-plan-timer-light-960x600.png,hub-detalle-plan-timer,detalle,timer,window,light,960,600,960,600,yes,960,600,yes,.window,b4d98896e18d4f9c09fa30f92366efbc537a7c8baeff7229291ce4aaf0589ac6,110235
hub-detalle-plan-timer-dark-960x600.png,hub-detalle-plan-timer,detalle,timer,window,dark,960,600,960,600,yes,960,600,yes,.window,f94e20aa5a2bc35580dc5762f8a7c9e7158bf607fba57a7e3f5ec5c0c88ed8e9,107419
hub-detalle-plan-rutina-light-960x600.png,hub-detalle-plan-rutina,detalle,rutina,window,light,960,600,960,600,yes,960,600,yes,.window,91fe408f772d71ed0a72c62c752f62dfaa11aba04f341d8be50d4b9bfb56dcbf,103724
hub-detalle-plan-rutina-dark-960x600.png,hub-detalle-plan-rutina,detalle,rutina,window,dark,960,600,960,600,yes,960,600,yes,.window,a977437eba00c901642c667a0e333e3214f76656bb6be02e3c1dd74a71fc92c0,100461
hub-detalle-plan-activacion-light-960x600.png,hub-detalle-plan-activacion,detalle,activacion,window,light,960,600,960,600,yes,960,600,yes,.window,b0feb5641db242881874350b23ac01f06b9314507572e2140602f9e5760e5480,125276
hub-detalle-plan-activacion-dark-960x600.png,hub-detalle-plan-activacion,detalle,activacion,window,dark,960,600,960,600,yes,960,600,yes,.window,e347ce594c97c0abb81225b88c6f2f6b4227dacc0c818b6b64d155bda6f2bd90,114352
hub-detalle-resumen-ia-0-light-720x462.png,hub-detalle-resumen-ia-0,detalle,recordatorios,modal,light,720,462,720,462,yes,720,462,yes,.modal,b434338d371ee07698c4743f651daf321d5d7044f941025ac9297d0e89ae1c49,93689
hub-detalle-resumen-ia-0-dark-720x462.png,hub-detalle-resumen-ia-0,detalle,recordatorios,modal,dark,720,462,720,462,yes,720,462,yes,.modal,007dfb970f37294f2478aabf5b028154ff2b84de185ddc075ea83a473b21fd73,71053
hub-textos-globales-light-960x600.png,hub-textos-globales,textos,,window,light,960,600,960,600,yes,960,600,yes,.window,6f317b6ee6c7d4cc737650df8dfcd458cc39ecf90582749c533023d4a8722a2b,144636
hub-textos-globales-dark-960x600.png,hub-textos-globales,textos,,window,dark,960,600,960,600,yes,960,600,yes,.window,b953ec1809f2b8dc27d9dc3f623752d255e9eb3b67c0eb07a17ed4559772be2f,131108
suite-home-light-960x600.png,suite-home,home,score,window,light,960,600,960,600,yes,960,600,yes,.window,0f58c8047de892133a07a4bb25b5e05474da736b3f02ae47387c975a843f0674,151759
suite-home-dark-960x600.png,suite-home,home,score,window,dark,960,600,960,600,yes,960,600,yes,.window,8285d2d8a9d85acd4f62053110dfa31f9fe5794a32e37bfac5d34aabfda9b194,147319
suite-home-no-score-light-960x600.png,suite-home-no-score,home,noscore,window,light,960,600,960,600,yes,960,600,yes,.window,aac0c6f3a08dc28c8d9b54099ca5bc526269ac59f02e3ea0d4a7c4f21b5f4140,144208
suite-home-no-score-dark-960x600.png,suite-home-no-score,home,noscore,window,dark,960,600,960,600,yes,960,600,yes,.window,05f2a6e5312b8793f8c02336416ae8d32becfdbcc7501e671f7d125b0c7116b4,137863
suite-animo-light-960x600.png,suite-animo,animo,,window,light,960,600,960,600,yes,960,600,yes,.window,f51015db85d059e80214abc326e3fbcc0c84bf828d8d036c8a1be693cea0cc91,90494
